Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
EXPRESSO ANDRADINA LTDA,EXPRESSO ANDRADINA LTDA,03.965.917/0001-19,170.045.811.113,RUA ACACIO E SILVA,SETOR JD STO ANTONIO,2845,STELLA MARIS,ANDRADINA,16901-105,SP
EXPRESSO  PRINCESA DOS CAMPOS S/A,EXPRESSO  PRINCESA DOS CAMPOS S/A,80.227.796/0014-73,114.202.419.114,RUA IAPO,,40,CASA VERDE,SAO PAULO,02512-020,SP
EXPRESSINHO SANTISTA LTDA - EPP,EXPRESSINHO SANTISTA ,46.411.021/0001-09,111086765119,RUA CAMACAM,PONTE ANHANGUERA,570,VILA ANASTACIO,SÃO PAULO,05095-000,SP
EXLOG DISTRIBUIÇÃO LTDA -EPP,EXLOG DISTRIBUIÇÃO LTDA -EPP,03.817.439/0001-08,116859902110,AVENIDA GUILHERME,,677,VILA GUILHERME,VILA GUILHERME,02053-01 ,SP
EXCELLENCE TRANSPORTE E LOGISTICA - EIRELI ,EXCELLENCE TRANSPORTE E LOGISTICA - EIRELI ,02.942.192/0006-95,796.667.675.115,RUA SISA,,611,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-030,SP
EXCARGO TRANSPORTES LTDA,EXCARGO TRANSPORTES LTDA,14.709.618/0001-30,146.781.488.119,RUA EUGENIO DE FREITAS,,424,VILA GUILHERME,SAO PAULO,02060-000,SP
EXATA CARGO LTDA,EXATA CARGO LTDA,06.186.733/0002-20,336.942.124.118,AVENIDA PAPA JOAO PAULO I,GALPÃO 9 AO 16 BLOCO A AO D,687,JARDIM PRESIDENTE DUTRA,GUARULHOS,07174-000,SP
EVIDENCIA LOGISTICA TRANSPORTES LTDA,EVIDENCIA LOGISTICA TRANSPORTES LTDA,07.632.502/0002-65,796602235110,VIELA URGA,,950,VILA NOVA BONSUCESSO,GUARULHOS,07175-332,SP
EVEREST PROJETOS LOGISTICOS E SERVIÇOS,EVEREST PROJETOS LOGISTICOS E SERVIÇOS,13.279.653/0001-01,796276834112,ESTRADA SEBASTIAO WALTER FUSCO,,195,.,GUARULHOS,00000-000,SP
EVA TRANSPORTE FLOR DO CAMPO,EVA TRANSPORTE FLOR DO CAMPO,41.632.414/0001-10,127.355.228.117,RUA MARAGOGIPE,,26,JARDIM PRESIDENTE DUTRA,GUARULHOS,07170-140,SP
EUREKA M.W TRANSPORTES LTDA,EUREKA M.W TRANSPORTES ,17.676.693/0013-73,336832259110,AVENIDA GUINLE,,1426,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-070,SP
EUCATUR E.U CASCAVEL TRANSP TURISMO LTDA,EUCATUR E.U CASCAVEL TRANSP TURISMO LTDA,76.080.738/0016-54,113.566.081.110,RUA DONA ESTELA BORGES MORATO,,106,VILA SIQUEIRA (ZONA NORTE),SAO PAULO,02722-000,SP
Eu Entrego Sistemas SA,Eu Entrego Sistemas SA,23.859.513/0001-58,ISENTO,AVENIDA DAS NACOES UNIDAS,,14261,VILA GERTRUDES,SAO PAULO,04794-000,SP
ETIQUETAS UNIPRESS,ETIQUETAS UNIPRESS,02.848.751/0001-98,ISENTO,RUA JOAO DE ARRUDA FALCAO,,111,JARDIM DOS MANACAS,ARARAQUARA,14801-527,SP
ET TRANSPORTES,ET TRANSPORTES,79.607.685/0001-99,ISENTO,AVENIDA CONDE ZEPPELIN,,3356,EDEN,SOROCABA,18103-008,SP
ESTRELA DE DAVI LOGISTICA,ESTRELA DE DAVI LOGISTICA,24.683.087/0002-98,796.608.020.114,RUA AMELIA RODRIGUES,,681,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-150,SP
ESTILO MOVEIS  PARA ESCRITORIO,ESTILO MOVEIS  PARA ESCRITORIO,00.435.494/0001-37,181111030117,AVENIDA PADRE FRANCISCO SALES COLTURATO,,651,CENTRO,ARARAQUARA,14801-250,SP
ESTILO CARGAS E ENCOMENDAS- USAR S.A. DA COSTA (7506),TRANSESTILO ,15.739.373/0002-37,336.703.946.119,RUA GURJAO,,16,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-040,SP
ESPRESSO PRATA CARGAS LTDA,ESPRESSO PRATA CARGAS LTDA,46.174.884/0038-93,165098488118,RUA DO MARCENEIRO,,405,JARDIM WERNER PLAAS,AMERICANA,13478-722,SP
ESPLANE DIVISORIAS ESPAÇOES PLANEJADOS LTDA,ESPLANE DIVISORIAS ESPAÇOES PLANEJADOS LTDA,61.740.510/0002-70,244513060119,ESTRADA LUIZ FERNANDO RODRIGUEZ,,2225,VILA BOA VISTA,CAMPINAS,13064-798,SP
E-SEDEX,E-SEDEX,34.028.316/6695-00,ISENTO,RUA DOUTOR ARMANDO SALES DE OLIVEIRA,,230,TAQUARAL,CAMPINAS,13076-015,SP
ESEDEX ,ESEDEX ,34.028.316/0015-09,0620144620013,RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,,",",OLHOS D'AGUA,BELO HORIZONTE,30390-515,MG
EROSAO TRANSPORTES LTDA,EROSAO TRANSPORTES LTDA,01.208.314/0001-47,127.187.023.116,AV NATALIA ZARIF,GALPAOPARTE - UNIDADE 02  SALA  01,660,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-040,SP
ERG ELETROMOTORES LTDA,ERG ELETROMOTORES LTDA,60.028.354/0001-76,635.185.119.113,RUA LUIZA VIEZZER FINCO,,175,RIACHO GRANDE,SAO BERNARDO DO CAMPO,09831-405,SP
EQUIPE BEG SERVICOS POSTAIS LTDA,EQUIPE BEG SERVICOS POSTAIS LTDA,67.838.623/0001-09,ISENTO,RUA GUAIANASES,,495,CAMPOS ELISEOS,SAO PAULO,01204-001,SP
ENVIA RAPIDO LOGISTICA EXPRESS LTDA,ENVIA RAPIDO LOGISTICA EXPRESS LTDA,34.515.143/0002-39,138358516111,RUA DONA SANTA VELOSO,,291,VILA GUILHERME,SAO PAULO,02050-000,SP
EMPRESAS DE TRANSPORTES ARALDI LTDA,ARALDI,02.150.579/0002-85,115.227.061.111,RUA DONA SANTA VELOSO,,522,VILA GUILHERME,SAO PAULO,02054-060,SP
EMPRESA DE TRANSPORTES PAJUCARA LTDA,EMPRESA DE TRANSPORTES PAJUCARA LTDA,53.237.962/0001-25,336.302.826.115,AVENIDA PAPA JOAO PAULO I,GALPAO 01,1745,VILA AEROPORTO,GUARULHOS,07170-350,SP
EMPRESA DE TRANSPORTES PAJUCARA LTDA,EMPRESA DE TRANSPORTES PAJUCARA LTDA,53.237.962/0005-59,795692115111,RUA ALFREDO VIEIRA ALVES,R.ARMANDO DE CAMPOS 245,262,TERMINAL INTERMODAL DE CARGAS (TIC),CAMPINAS,13069-131,SP
EMPRESA DE TRANSP ATLAS LTDA,EMPRESA DE TRANSP ATLAS LTDA,60.664.828/0001-76,105708615117,RUA SOLDADO HAMILTON SILVA COSTA,,58,PARQUE NOVO MUNDO,SAO PAULO,02190-010,SP
EMPRESA CRUZ,EMPRESA CRUZ,,,.,,.,,ARARAQUARA,14800-000,SP
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAMAS,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAMAS,34.028.316/7262-36,ISENTO,RUA JASMIN,,395,.,CAMPO MAGRO,83535-992,PR
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,CORREIO DE MATAO,34.028.316/4685-12,209263344110,RUA JOSE BONIFACIO,,S/N,CENTRO,MATAO,15990-040,SP
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,34.028.316/7854-02,ISENTO,"RUA HEITOR LIBERATO, 2110 LOJA A ",,2110,SAO JOAO ,ITAJAI,88304-972,SC
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,34.028.316/1431-33,509.024.040.119,RUA ALAGOAS ,,1111,PARAPUA,SAO PAULO,17730-000,SP
EMPRESA BRASILEIRA DE CORREIOS E TELEGRA,EMPRESA BRASILEIRA DE CORREIOS E TELEGRA,97.447.221/0001-44,ISENTO,AVENIDA DAS AMOREIRAS,,1919,SAO BERNARDO,CAMPINAS,13030-971,SP
EMPRESA BRASILEIRA CORREIOS E TELEGRAFOS,CORREIOS MAIRIPORÃ,34.028.316/3049-19,112388853119,RUA. CORONEL FAGUNDES,,265,CENTRO,MAIRIPORÃ,07600-970,SP
EMPRESA BRAS. DE CORREIOS E TELEGRAFOS,EMPRESA BRAS. DE CORREIOS E TELEGRAFOS,34.028.316/0028-23,250254700,RUA ROMEU JOSE VIEIRA,,90,NOSSA SENHORA DO ROSARIO,SAO JOSE,88110-640,SC
EMPRESA AUTO VIACAO PROGRESSO LTDA,EMPRESA AUTO VIACAO PROGRESSO LTDA,10.788.677/0005-13,31426123,AVENIDA JOSE MARQUES FONTES - LADO PAR,,98,SANTA ROSA,CARUARU,55026-545,PE
EMP BRAS DE CORREIOS E TELEGRAFO(PAC),EMP BRAS DE CORREIOS E TELEGRAFO(PAC),34.028.316/4106-03,ISENTO,RUA GENEBALDO FIGUEREDO,,81,ITAPUA,SALVADOR,41610-081,BA
EMBORCACAO TRANSP LTDA,EMBORCACAO TRANSPORTADORA LTDA,25.412.222/0001-42,112332867113,RUA PAULO EMILIO,TERMINAL DE CARGAS QUADRA 7 BLOCO 2,81,JARDIM JULIETA,SAO PAULO,02162-040,SP
ELOIM TRANSP. E DISTRIBUCAO (PLANALTO) NAO USAR,PLANALTO NAO USAR,01.422.354/0001-97,114.732.320.113,R.MANOEL SILVINO BANDEIRA DE MELO ,,145,VL GUILHERME,SAO PAULO,02054-040,SP
ELIANA DE FATIMA PASTRE LTDA,MAIS COMERCIO DE MATERIAIS,43.857.494/0001-38,674036315110,R CATARINA ALONSO SOLER,,470,JARDIM DOS IPES II,TABATINGA,14910-000,SP
EL SHADAI CROMEACAO LTDA ,EL SHADAI CROMEACAO LTDA,08.252.501/0001-77,149.401.310.117,RUA JOSÉ DE OLIVEIRA CHINA,,100,JARDIM DONA SINHÁ,SÃO PAULO,03924-100,SP
EJS TRANSPORTES E LOGISTICA LTDA,EJS TRANSPORTES E LOGISTICA LTDA,24.169.903/0001-69,796.429.091.114,AV MONACO,,215,CIDADE SERODIO,GUARULHOS,07150-050,SP
EGNALDO ANTONIO DA SILVEIRA (TSB TRANSPORTES),TSB TRANSPORTES,22.174.313/0001-07,ISENTO,RUA AUGUSTO MONTENEGRO,,199,PARQUE EDU CHAVES,SAO PAULO,02230-050,SP
EFITRANS TRANSPORTES LTDA,EFITRANS TRANSPORTES LTDA,00.650.831/0002-90,114.575.873.116,AVENIDA TENENTE AMARO FELICISSIMO DA SILVEIRA,ESQ RUA LIDICE 22 ARMAZ 11,S/N,PARQUE NOVO MUNDO,SAO PAULO,02177-010,SP
EFFICAX TRANSPORTES LTDA,EFFICAX TRANSPORTES LTDA,22.883.593/0008-90,ISENTO,RODOVIA BR-040,,.,UNIVERSITARIO,SETE LAGOAS,35702-372,MG
EDVALDO FERREIRA CALADO TRANSPORTES - ME,EDVALDO TRANSPORTES,00.030.112/0001-95,336389790112,AVENIDA BIRINEPE,,641,JARDIM CUMBICA,GUARULHOS,07240-050,SP
EDLOG TRANSPORTES E LOGISTICA LTDA.,EDLOG TRANSPORTES E LOGISTICA LTDA.,27.178.278/0001-00,141.779.068.116,AVENIDA PATOS,,49,CUMBICA,GUARULHOS,07222-010,SP
"EDL LOGISTICA, TRANSPORTE E DISTRIBUICAO EIRELI","EDL LOGISTICA, TRANSPORTE E DISTRIBUICAO EIRELI",37.556.691/0001-14,127.155.238.115,R ITAPARANTIM,,754,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-050,SP
EDILENE  (INAPTA) USAR A 10906,TEX LOGISTICA E TRANSPORTE,31.018.366/0001-11,796.760.781.114,AVENIDA PATOS,SALA 03,1349,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
ED TRANSPORTES ELAINE CRISTINA DURANTE - ME,ED TRANSPORTES,06.313.036/0001-01, 336.519.356.110,RUA DIAS DA SILVA,,689,VILA MARIA,SAO PAULO,02114-001,SP
ECT- EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS.,ECT- EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS.,59.426.361/0001-47,112122835119,AVENIDA DAS CEREJEIRAS,,1000,JARDIM JAPAO,SAO PAULO,02124-001,SP
ECT Emp. Bras Correios e Telegrafos(Sedex),ECT Emp. Bras Correios e Telegrafos(Sedex),53.569.414/0001-00,286.219.995.119,AVENIDA LICO MAIA,,435,CONCEICAO,DIADEMA,09981-970,SP
EC DE ASSIS TRANSPORTES ME(CARMOLINA),EC DE ASSIS TRANSPORTES ME(CARMOLINA),11.482.515/0002-72,336960692111,RUA:DOUTOR VITAL BRASIL,,1273,JD.NOVA CIMBICA,GUARULHOS,07231-370,SP
EBUILT COMÉCIO ELETRONICO LTDA,EBUILT COMÉCIO ELETRONICO LTDA,07.661.027/0001-74,0623975370075,RUA LUA,,471,SANTA LUCIA,BELO HORIZONTE,30360-600,MG
EBAZARCOMBR LTDA,EBAZARCOMBR LTDA,03.007.331/0053-72,261711890,RUA VEREADOR ARTHUR MANOEL MARIANO,,501,FORQUILHINHA,SAO JOSE,88106-500,SC
EBAZARCOMBR LTDA,EBAZARCOMBR LTDA,03.007.331/0150-92,438617072114,AVENIDA EUGENIO CONEGLIAN,,1800,DISTRITO INDUSTRIAL,MARILIA,17512-050,SP
EBAZARCOMBR LTDA,EBAZARCOMBR LTDA,03.007.331/0144-44,261879626,ROD BR 101 SN,,SN,GUAPORANGA,GOVERNADOR CELSO RAMOS,88190-000,SC
EBAZAR.COM.BR. LTDA,EBAZAR.COM.BR. LTDA,03.007.331/0061-82,0038450761212,AVENIDA GENERAL DAVID SARNOFF,,3185,CIDADE INDUSTRIAL,CONTAGEM,32210-110,MG
EBAZAR.COM.BR. LTDA,EBAZAR.COM.BR. LTDA,03.007.331/0080-45,127681677119,RUA ORLANDA BERGAMO,COND REC GUARULHOS II GALPAOC MOD 1,S/N,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-151,SP
EBAZAR.COM.BR. LTDA,EBAZAR.COM.BR. LTDA,03.007.331/0122-39,ISENTO,"AVENIDA DAS NACOES UNIDAS, 3000 ",SETOR A PARTE C,3003,BONFIM ,OSASCO,06233-903,SP
Ebazar.com.br LTDA.,Ebazar.com.br LTDA.,03.007.331/0001-41,120079527111,"AVENIDA DAS NACOES UNIDAS, 3000 ",,3000,BONFIM ,OSASCO,06233-903,SP
E2L SOLUCOES LOGISTICAS INTEGRADAS LTDA,E2L SOLUCOES LOGISTICAS INTEGRADAS LTDA,31.330.241/0001-22,796775255117,VIELA VITORIA DA CONQUISTA,,700,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-325,SP
E. R. C. TRANSPORTES LTDA,E. R. C. TRANSPORTES LTDA,30.916.875/0001-07,513.249.647.117,AVENIDA PROFESSOR BENEDICTO MONTENEGRO,,474,BETEL,PAULINIA,13148-189,SP
DVAL TRANSPORTES LTDA - ME USAR 9071,DVAL TRANSPORTES LTDA - ME,20.856.135/0001-60,379216105113,RUA BIRITIBA,GALPÃO  -03  ,426,JARDIM NOSSA SENHORA D'AJUDA,ITAQUAQUECETUBA,08576-530,SP
DURANTE TRANSP. DANIELA AP (11)2631-3484,DURANTE TRANSP. DANIELA AP (11)2631-3484,,,"RUA DR. VIDAL REIS, 395",,.,PQ NOVO MUNDO,SAO PAULO,02181-000,SP
DUARTE TRANSPORTE EIRELI,DUARTE TRANSPORTE,11.935.519/0001-88,283586427,RUA PALMACIA,,1042,VILA MORENINHA II,CAMPO GRANDE,79065-140,MS
DSR VELOX SOLUÇÕES E INTELIGÊNCIA LOGISTICA LTDA,DSR VELOX ,73.500.167/0002-76,336.821.336.111,AV. MONTEIRO LOBATO,,4550,CUMBICA,GUARULHOS,07180-000,SP
DRP EXPRESS TRANSPORTES LTDA,DRP EXPRESS TRANSPORTES LTDA,28.249.446/0001-73,796.612.834.116,R SUME,SALA  2,227,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-030,SP
D'MARI LOCAÇÃO TRANSPORTES E LOGISTICA LTDA - EPP,DMARI  LOGISTICA LTDA - EPP,11.970.436/0002-00,144.667.571.111,RUA SARGENTO MANUEL CHAGAS,,653,PARQUE NOVO MUNDO,SAO PAULO,02179-040,SP
DLX TRANSPORTE E LOCAÇÃO LTDA. - EPP,DLX TRANSPORTE E LOCAÇÃO LTDA. - EPP,13.776.461/0001-00,181.156.967.116,RUA LUIZ LUCCAS,,51,JARDIM TINEN,ARARAQUARA,14806-105,SP
DISTRIBUIDORA DE ACOS E METAIS TUBOMETAL LTDA,TUBOMETAL,74.519.018/0001-30,113969441115,AVENIDA HENRY FORD,,591,PARQUE DA MOOCA,SAO PAULO,03109-000,SP
DISTRIBUIDORA BATISTA CANDIDO RIB PRETO ME,DISTRIBUIDORA BATISTA CANDIDO RIB PRETO ME,73.156.507/0001-02,582569771117,RUA CARLOS DE CAMPOS,,548,VILA MONTE ALEGRE,RIBEIRAO PRETO,14051-080,SP
DIST REG DE ARARAQUARA LTDA ( RODOEXPRES),DIST REG DE ARARAQUARA LTDA ( RODOEXPRES),01.334.720/0001-56,116222054115,RUA DOMINGOS PACHECO,BOX1 QUADRA 4,",",JARDIM JULIETA,SAO PAULO,02162-020,SP
DISPAR ARARAQUARA LTDA.,DISTRIBUIDORA ORBI QUIMICA ADÉRE E PRODUTOS EM GERAL,08.938.757/0001-32,181.341.834.113,RUA BARAO DO RIO BRANCO,,916,VILA XAVIER (VILA XAVIER),ARARAQUARA,14810-100,SP
DIRECIONAL TRANSPORTE E LOGISTICA S/A,DIRECIONAL TRANSPORTE E LOGISTICA S/A,08.219.203/0016-61,ISENTO,AVENIDA ALCACIBAS FURTADO,,800,CANAA,VIANA,29135-008,ES
DIP LOG TRANSPORTES RODOVIARIOS EIRELI,DIP LOG TRANSPORTES RODOVIARIOS EIRELI,39.935.258/0001-15,ISENTO,AVENIDA JOSE MIGUEL ACKEL,,226,PARQUE INDUSTRIAL CUMBICA,GUARULHOS,07241-090,SP
DIOFRAN TRANSPORTES E LOGISTICA LTDA,DIOFRAN TRANSPORTE E LOGISTICA,18.063.472/0001-59,796.098.350.110,ESTRADA GERALDO COSTA CAMARGO,"AO CHEGAR NA PORTARIA, AVISAR QUE A ENTREGA É NA ROUDUNA A/C FRANKLIN CARDOZO.",472,LOTEAMENTO ADVENTISTA CAMPINEIRO,HORTOLANDIA,13187-179,SP
DINAMO TRANSPOSRTES LTDA ,DINAMO TRANSPORTES LTDA,08.693.561/0002-06,336899511117,RUA SUME,,280,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-030,SP
DILCE BACELONE MILE EPP/SAO JOSE,SAO JOSE,04.165.849/0002-57,796.068.717.118,RUA:ALEXANIA,,352,JD CUMBICA,GUARULHOS,07232-010,SP
DICA TRANSPORTE RODOVIARIO DE CARGAS LTDA,DICA TRANSPORTE RODOVIARIO DE CARGAS LTDA,40.152.387/0001-16,127.273.374.114,AV SERRA BRANCA,ARMZ 5,233,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-050,SP
DIAS LEMES & COMERCIAL LEME,TRANSLEME,17.142.262/0001-93,143159660114,R CAUCASICA,,401,ERMELINO MATARAZZO,SAO PAULO,03813-240,SP
DIAS E ARAUJO VANILDA VIEIRA MOREIRA DIAS - ME,DIAS E ARAUJO ,07.146.776/0002-44,147.751.323.115,RUA CESARIO ALVIM,,748,BELENZINHO,SAO PAULO,03054-000,SP
DG LOG TRANSPORTES E LOGISTICA EIRELI,DG LOG - DASOUSA E CDD ,40.004.101/0001-55,127.265.283.115,RUA ITAPARANTIM,,143,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-050,SP
DEUMEX DO BRASIL COMERCIAL IMPORTACAO E EXPORTACAO LTDA,DEUMEX,12.534.647/0001-82,147.473.893.117,RUA IPERARA,,82,JARDIM MANGALOT,SAO PAULO,05134-100,SP
DETONA LOG EXPRESS TRANSPORTES E LOGISTICA EIRELI,DETONA LOG EXPRESS TRANSPORTES E LOGISTICA EIRELI,33.443.100/0001-41,796.888.876.117,RUA REGIANI,,35,CIDADE JARDIM CUMBICA,GUARULHOS,07180-190,SP
DESTAQUE LOGISTICA  TRANSPORTES LTDA ME,DESTAQUE LOGISTICA  TRANSPORTES LTDA ME,09.813.215/0002-87,336900788110,RUA ALEXANIA,,394,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-010,SP
DESTAK TRANSPORTES LTDA,DESTAK TRANSPORTES LTDA,05.813.363/0002-40,117030691112,AVENIDA NATALIA ZARIF,,660,PARQUE SÃO GERALDO,SÃO PAULO,07224-020,SP
DEJAIR MORAES FERNANDES TRANSPORTES ,TS LOG TRANSPORTES,13.067.478/0001-80,145.947.675.110,RUA SOLDADO JOSE REYMAO,,105,PARQUE NOVO MUNDO,SAO PAULO,02178-040,SP
DECIO CAETANO DE MELO LTDA (SETEX),DECIO CAETANO DE MELO LTDA,19.978.197/0001-66,181399070110,RUA PROFESSOR LUIZ CARLOS DORIA TEIXEIRA DE CAMARGO,,616,JARDIM REGINA,ARARAQUARA,14808-116,SP
DEALERPLAST COM IMP E REP TERMOPLÁSTICOS EIRELI EPP,DEALERPLAST COM IMP E REP TERMOPLÁSTICOS EIRELI EPP,04.100.494/0001-37,219079476118,RUA. FRANCISCO MORESCHI,,153,CENTO,BOITUVA,18550-000,SP
DDC LOGISTICA EXPRESS EIRELI,DDC LOGISTICA,27.892.201/0001-05,796.592.870.110,RUA GUILHERME LINO DOS SANTOS,SALA 06,346,JARDIM FLOR DO CAMPO,GUARULHOS,07190-010,SP
DBA EXPRESS LOGISTICA E TRANSPORTE LTDA,DBA EXPRESS,22.966.500/0001-15,188059629113,AVENIDA TOWER AUTOMOTIVE,GALPAO07,701,LARANJA AZEDA ,ARUJA,07430-350,SP
DASOUSA ***** USAR 10738,HBV LOG,13.220.164/0001-76,796368311119,RUA CONCRETEX,,77, CUMBICA,GUARULHOS,07230-451,SP
DANUBIO AZUL TRANSP. CARGAS E ENCOMENDAS,DANUBIO AZUL TRANSP. CARGAS E ENCOMENDAS,49.512.916/0007-05,181355960110,AV. JULIO URSULINO PEDROSO ,,100,JARDIM NOVA ANNE,ARARAQUARA,14800-320,SP
DANIEL HENRIQUE VASCONCELOS,DANIEL HENRIQUE VASCONCELOS,,,"ETELVINA MARIA DE JESUS, 418",,418,MONTE AZUL,AMERICO DE CAMPOS,39500-000,SP
DANIEL FERREIRA TRANSPORTES - ME,DJ - TRANSPORTES ,08.959.761/0004-20,336.948.512.116,RUA SATELITE,LOTE 15 E 16 QUADRAS 14	,918,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-080,SP
DANI TRANSPORTES RODOVIARIO DE CARGAS LT,DANI TRANSPORTES,00.657.921/0003-93,336.733.696.117,RUA MINISTRO MARCOS FREIRE,,250,RESIDENCIAL PARQUE CUMBICA,GUARULHOS,07174-270,SP
DAMASIO DISTRIBUIDORA DE MOTOPECAS DA PARAIBA LTDA,DAMASIO DISTRIBUIDORA DE MOTOPECAS DA PARAIBA LTDA,34.292.781/0001-57,16.349.187-9,R JOSEFA DE MORAIS MAIA,LETRA A,4200,DISTRITO INDUSTRIAL,CAMPINA GRANDE,58411-400,PB
DAJEX TRANSPORTES,DAJEX TRANSPORTES,08.645.359/0002-09,141.416.499.118,AV. CARLOS DE CAMPOS,,946,PARI,SAO PAULO,03024-000,SP
DAGOSTIM TRANSPORTES LOGISTICA,DAGO TRANSPORTES,11.758.701/0001-00,336931577110,AV NATALIA ZARIS,GALPAO 18 A,660, JARDIM SAO GERALDO,GUARULHOS,07140-040,SP
D. H. L. EXPRESS (BRAZIL) LTDA,D. H. L. EXPRESS (BRAZIL) LTDA,58.890.252/0001-13,109746831115,AV. SANTA MARINA ,,1660,.,SAO PAULO,05036-001,SP
D. ANGELO DA COSTA TRANSPORTES - ME ( FENIX LOG),D. ANGELO DA COSTA TRANSPORTES - ME,21.934.502/0001-60,ISENTO,RUA BENITO MOCERINO,,444,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-060,SP
D N T TRANSPORTES RODOVIARIOS EIRELI ,DU NONDAS TRANSPORTES E LOGISTICA ,29.709.924/0001-43,796690603113,RUA NOVA GUATAPORANGA,,625,CIDADE JARDIM CUMBICA,GUARULHOS,07180-050,SP
D G R DA SILVA TRANSPORTES,D G R DA SILVA TRANSPORTES,24.315.466/0003-06,127453381110,AVENIDA PATOS,,49,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
D DOS SANTOS POLICARPO FILHO (N0VA ERA),D DOS SANTOS POLICARPO FILHO (N0VA ERA),12.001.402/0002-70,144.206.315.115,AVENIDA DOUTOR ASSIS RIBEIRO,,48/98,VILA SILVIA,SAO PAULO,03717-001,SP
CVR EQUIPAMENTOS E SERVIÇOS EIRELI ME,CAVOUR ,24.717.008/0001-31,626.846.409.117,RUA INGLATERRA,,63,PARQUE DAS NACOES,SANTO ANDRE,09210-060,SP
CUIABA EXPRESS TRANSP. LTDA,CUIABA EXPRESS TRANSPORTES LTDA,07.659.578/0001-01,149382929113,RUA DR. VITAL BRASIL,,1273,NOVA CUMBICA,GUARULHOS,07231-370,SP
CRUZEIRO DO SUL LTDA,CRUZEIRO DO SUL LTDA,03.232.675/0025-21,113273553114,RUA MIGUEL NELSON BECHARA,BAIRRO DO LIMAO,435,JARDIM PEREIRA LEITE,SAO PAULO,02712-130,SP
CROMAX CROMACAO E INJECAO DE PLASTICOS LTDA  ,CROMAX CROMACAO E INJECAO DE PLASTICOS LTDA ,10.371.687/0001-25,286.468.504.119,RUA TUPINIQUINS,TERCEIRO,503,CONCEIÇÃO,DIADEMA,09990-300,SP
CRISTAL TRANSP.  E.M. TRANSPORTES E LOGISTICA LTDA - ME,CRISTAL TRANSPORTES,10.237.429/0002-31,147650191114,RUA JOAQUIM GERALDO ,QD. 6 BOX 15,S/N,TERMINAL DE CARGAS FERNÃO DIAS ,SAO PAULO,02162-040,SP
CR TRANSPORTE DE CARGAS LTDA - ME,CR TRANSPORTES DE CARGAS LTDA,03.006.819/0003-16,336878490113,RUA ALEXANIA,,273,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-010,SP
CR LOGISTICA E TRANSPORTE LTDA,CR LOGISTICA E TRANSPORTE,63.225.552/0002-07,156.586.368.111,RUA CAPITAO BUSSE,,772,PARQUE EDU CHAVES,SAO PAULO,02232-050,SP
CORTEVIVO IND. COM. E CORTE DE PLASTICO,CORTEVIVO IND. COM. E CORTE DE PLASTICO,47.668.397/0001-58,626.112.840.110,RUA TUPI,,490,VILA VALPARAISO,SANTO ANDRE,09060-140,SP
CORREIOS VILA LINDA (SEDEX),CORREIOS VILA LINDA (SEDEX),68.370.568/0001-38,ISENTO,RUA CARIJÓS,,S/N,VILA LINDA,SANTO ANDRÉ,09180-001,SP
CORREIOS EMPRESA DE TELEGRAFOS ,CORREIOS,34.028.316/7101-51,ISENTO,RUA MERGENTHALER,,592,VILA LEOPOLDINA,SAO PAULO,05311-900,SP
CORREIOS ANDREENSE (SEDEX),CORREIOS ANDREENSE (SEDEX),00.428.745/0001-56,ISENTO,CORREIA DIAS,,.,CENTRO,SANTO ANDRE,09010-120,SP
